"treatment","autism"
"control",3.57350243562614
"control",8.03368497925791
"control",2.89901605369306
"control",32.9595417634867
"control",9.29528954972676
"control",2.94330063288806
"control",10.8854719592529
"control",13.9897470134485
"control",11.8909945324963
"control",4.92641534406297
"control",30.3191997953165
"control",9.87338977183647
"control",3.59218057085205
"control",0.730007926136436
"control",20.592582088249
"control",6.39212261584896
"control",6.57851961104624
"control",17.1815513231761
"control",15.1988717040158
"control",12.1084229405293
"control",16.7597029576821
"control",14.6162847466484
"control",7.2034853361799
"control",0.914523882742584
"control",12.4264311431218
"control",6.32096104367592
"control",5.72134829368697
"control",1.53610135073597
"control",4.14478096866785
"control",10.1547498363559
"control",26.0151627708172
"control",6.03280618211922
"control",9.85197173761875
"control",6.33566613267455
"control",1.68698083512682
"control",4.4149894156877
"control",4.50735292355043
"control",6.30086296941443
"control",20.0860465395717
"control",14.3417626848487
"control",5.67162914566246
"control",5.18950501534429
"control",13.422915729318
"control",11.6658199990009
"control",3.35766000895093
"control",3.2953251504417
"control",9.62709926779161
"control",14.418800200054
"control",5.97541641245211
"control",16.1368863070863
"control",9.9553080408466
"control",3.62543255515978
"control",9.40385481038185
"control",2.16114225552046
"control",28.0229467603359
"control",48.4435837150874
"control",4.63102637841264
"control",2.35341007877662
"control",11.8191326266162
"control",5.84125339427354
"vaccine",90.1628753179646
"vaccine",7.85193499240385
"vaccine",16.276776909641
"vaccine",8.39807202591261
"vaccine",3.88346109622402
"vaccine",9.86301891273968
"vaccine",1.34318192646265
"vaccine",35.3590673496361
"vaccine",9.51865291448578
"vaccine",71.7086706858777
"vaccine",13.1380096489368
"vaccine",4.0150651305713
"vaccine",15.0401960471868
"vaccine",3.20881711219753
"vaccine",2.33116140334536
"vaccine",10.9292888444227
"vaccine",5.24202632476291
"vaccine",8.17520139236554
"vaccine",8.79638924444693
"vaccine",4.5288998614653
"vaccine",4.62432894369171
"vaccine",7.13363830066969
"vaccine",26.5249817527468
"vaccine",1.77967933566098
"vaccine",14.789924732487
"vaccine",11.3924444851392
"vaccine",23.6437743028831
"vaccine",6.02438907783381
"vaccine",11.8226692329734
"vaccine",10.6664018874529
"vaccine",4.74684396601221
"vaccine",27.3267972768341
"vaccine",26.0600272066087
"vaccine",16.4481605372479
"vaccine",39.9182436822921
"vaccine",14.2746669684664
"vaccine",2.27825042636966
"vaccine",4.6031211568261
"vaccine",2.3998047625362
"vaccine",5.0865477742042
"vaccine",4.39133518307523
"vaccine",8.5174403997795
"vaccine",3.28405306940041
"vaccine",9.56421732340477
"vaccine",4.24361438785769
"vaccine",47.8125075441385
"vaccine",16.7217033257461
"vaccine",20.2909348966286
"vaccine",11.9913476172823
"vaccine",43.911492787354
"vaccine",4.32435737725679
"vaccine",5.14669761732523
"vaccine",34.2019355857514
"vaccine",4.26014691463285
"vaccine",6.63672923075212
"vaccine",5.51345831997996
"vaccine",5.92989870722535
"vaccine",6.17733344537255
"vaccine",13.385718182012
"vaccine",6.83919146468719
